                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    153,                0.66513,                0.34802,                0.85129,                0.97296,                0.90501,                0.97967,                0.76789,                0.95672,                0.45584,                0.95496,              0.0039808,              0.0039808,              0.0039808
                    154,                0.66169,                0.34338,                 0.8533,                0.93881,                0.94555,                0.97942,                0.75878,                0.96603,                 0.4408,                0.94689,              0.0039412,              0.0039412,              0.0039412
                    155,                0.65155,                0.33854,                0.84158,                0.92681,                0.93522,                0.97472,                0.73701,                 1.0106,                 0.4592,                0.97381,              0.0039016,              0.0039016,              0.0039016
                    156,                0.65199,                 0.3442,                0.84683,                0.95331,                0.91298,                0.96498,                0.75618,                 0.9728,                0.47917,                  0.958,               0.003862,               0.003862,               0.003862
                    157,                0.64037,                0.34114,                0.84432,                0.95159,                0.91593,                0.97685,                  0.753,                 0.9928,                0.46065,                0.96248,              0.0038224,              0.0038224,              0.0038224
                    158,                0.65019,                0.33724,                 0.8457,                0.95761,                0.96769,                0.98694,                0.76952,                0.96783,                 0.4159,                0.96575,              0.0037828,              0.0037828,              0.0037828
                    159,                0.63849,                0.33538,                0.84301,                0.94119,                0.95327,                0.98087,                0.76588,                0.95598,                0.43053,                0.95949,              0.0037432,              0.0037432,              0.0037432
                    160,                0.64444,                0.34065,                0.83923,                0.94723,                0.94232,                0.98288,                0.76315,                 0.9549,                0.43484,                0.96487,              0.0037036,              0.0037036,              0.0037036
                    161,                0.64535,                0.33501,                 0.8469,                0.95995,                0.96219,                0.98342,                0.75341,                0.98646,                0.44908,                0.95945,               0.003664,               0.003664,               0.003664
                    162,                0.63722,                0.32988,                0.84537,                0.92382,                0.96639,                0.98314,                0.76058,                0.96125,                 0.4445,                0.94656,              0.0036244,              0.0036244,              0.0036244
                    163,                0.63557,                0.32815,                0.84046,                0.96766,                0.94212,                0.98246,                0.76775,                 0.9514,                0.46196,                0.94077,              0.0035848,              0.0035848,              0.0035848
                    164,                0.63252,                0.32286,                0.83891,                0.94112,                0.94782,                0.97852,                0.75942,                0.97463,                0.44944,                0.95852,              0.0035452,              0.0035452,              0.0035452
                    165,                0.64181,                0.33856,                0.84208,                0.95103,                 0.9464,                0.98055,                0.74988,                 1.0134,                0.44105,                0.97932,              0.0035056,              0.0035056,              0.0035056
                    166,                0.63571,                0.32907,                0.84092,                 0.9635,                0.91793,                0.98707,                0.76424,                0.97635,                0.44721,                0.96205,               0.003466,               0.003466,               0.003466
                    167,                0.63209,                0.33143,                0.83741,                0.96001,                 0.9648,                0.99249,                0.76331,                0.97026,                0.41293,                0.97341,              0.0034264,              0.0034264,              0.0034264
                    168,                0.63409,                0.33197,                0.83787,                0.94264,                 0.9494,                 0.9803,                0.76671,                0.94636,                0.42553,                 0.9544,              0.0033868,              0.0033868,              0.0033868
                    169,                0.62301,                0.32516,                0.84127,                0.91985,                0.97246,                0.97196,                0.76022,                  0.957,                0.46556,                0.95118,              0.0033472,              0.0033472,              0.0033472
                    170,                0.63483,                0.32693,                0.83524,                0.89807,                0.97282,                0.97781,                0.77159,                0.95608,                0.43806,                0.95655,              0.0033076,              0.0033076,              0.0033076
                    171,                0.63204,                 0.3254,                0.83754,                0.90144,                0.98203,                 0.9794,                0.75624,                0.95605,                0.42982,                0.96839,               0.003268,               0.003268,               0.003268
