                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.90892,                0.51855,                0.91038,                0.94849,                0.86126,                  0.972,                0.72882,                 1.0209,                0.58311,                0.97151,              0.0086932,              0.0086932,              0.0086932
                     35,                0.89346,                0.51632,                0.91415,                0.95044,                0.90819,                 0.9673,                 0.7242,                 1.0067,                0.52688,                0.97144,              0.0086536,              0.0086536,              0.0086536
                     36,                0.87575,                0.48965,                0.90507,                0.89255,                0.95054,                0.95964,                0.71297,                 1.0055,                0.58422,                0.96572,               0.008614,               0.008614,               0.008614
                     37,                0.88954,                0.49015,                0.90752,                0.91815,                 0.9765,                 0.9805,                0.73806,                 1.0442,                0.55884,                0.98094,              0.0085744,              0.0085744,              0.0085744
                     38,                0.86325,                0.48959,                0.90899,                0.97306,                0.95031,                0.97635,                0.72586,                 1.0539,                0.56314,                0.99065,              0.0085348,              0.0085348,              0.0085348
                     39,                0.88532,                0.49212,                0.91878,                0.92273,                0.95833,                 0.9685,                0.72833,                 1.0169,                0.52466,                0.97065,              0.0084952,              0.0084952,              0.0084952
                     40,                0.85637,                0.48671,                 0.9028,                0.96312,                0.91055,                0.96554,                0.67057,                  1.164,                0.59911,                 1.0199,              0.0084556,              0.0084556,              0.0084556
                     41,                0.85182,                0.48877,                0.90246,                0.90962,                0.93086,                0.96822,                0.73598,                0.96963,                0.53221,                0.98185,               0.008416,               0.008416,               0.008416
                     42,                0.87854,                0.48933,                 0.9077,                0.94304,                0.92841,                0.97254,                0.72554,                  1.038,                0.57311,                0.98962,              0.0083764,              0.0083764,              0.0083764
                     43,                0.85008,                 0.4839,                0.90395,                0.92797,                  0.929,                0.96782,                0.72337,                 1.0191,                0.49668,                0.99238,              0.0083368,              0.0083368,              0.0083368
                     44,                0.84788,                0.46951,                0.90346,                0.90795,                0.96448,                 0.9579,                0.71964,                0.98923,                 0.5534,                0.96364,              0.0082972,              0.0082972,              0.0082972
                     45,                0.84423,                0.47275,                0.89927,                0.92828,                0.95659,                0.97148,                 0.7522,                0.97859,                0.54971,                0.96978,              0.0082576,              0.0082576,              0.0082576
                     46,                0.83638,                0.47018,                0.89518,                0.93395,                0.89522,                0.97189,                0.70372,                 1.0559,                0.59706,                0.99022,               0.008218,               0.008218,               0.008218
                     47,                0.85286,                0.46862,                0.89691,                0.91261,                0.93221,                0.94387,                0.70951,                0.99164,                0.53872,                0.96567,              0.0081784,              0.0081784,              0.0081784
                     48,                0.84285,                0.46749,                0.90301,                0.94251,                0.95448,                0.98494,                0.74572,                   1.02,                0.52138,                0.97402,              0.0081388,              0.0081388,              0.0081388
                     49,                0.83598,                0.46873,                0.89838,                0.93039,                0.95177,                0.97788,                0.73093,                0.99925,                0.51603,                0.96756,              0.0080992,              0.0080992,              0.0080992
                     50,                0.85703,                0.46993,                0.90163,                0.95473,                0.87143,                0.97012,                 0.7281,                0.98621,                0.52775,                0.96632,              0.0080596,              0.0080596,              0.0080596
                     51,                0.83671,                0.47157,                0.89083,                0.94494,                0.96575,                0.97095,                0.72791,                 1.0131,                0.52839,                0.96413,                0.00802,                0.00802,                0.00802
                     52,                0.82161,                0.45693,                0.89108,                0.91935,                 0.9478,                0.97291,                0.71415,                 1.0405,                0.51846,                0.98558,              0.0079804,              0.0079804,              0.0079804
                     53,                0.82517,                 0.4511,                  0.893,                0.88894,                0.97959,                0.97656,                0.74066,                0.99694,                0.49596,                0.96189,              0.0079408,              0.0079408,              0.0079408
                     54,                0.81264,                0.45476,                0.89457,                0.89015,                0.96693,                0.97665,                0.72727,                   1.03,                0.52037,                0.98148,              0.0079012,              0.0079012,              0.0079012
                     55,                 0.8222,                0.45676,                0.89253,                0.93036,                0.86196,                0.94506,                0.71718,                 1.0308,                0.63869,                0.97143,              0.0078616,              0.0078616,              0.0078616
                     56,                0.80662,                0.45112,                0.90085,                0.93815,                0.93572,                0.96922,                 0.7372,                0.99307,                 0.5197,                0.96311,               0.007822,               0.007822,               0.007822
                     57,                0.83573,                0.45954,                0.88692,                0.90986,                0.96004,                0.96931,                0.74442,                0.98374,                0.52077,                0.95813,              0.0077824,              0.0077824,              0.0077824
                     58,                 0.8124,                0.44534,                0.88695,                0.93569,                0.96401,                0.96301,                0.73426,                 1.0302,                0.53635,                0.97369,              0.0077428,              0.0077428,              0.0077428
                     59,                0.80372,                0.43087,                0.88624,                0.96979,                0.92985,                0.96571,                0.73931,                 1.0112,                0.52121,                0.95223,              0.0077032,              0.0077032,              0.0077032
                     60,                0.82659,                 0.4392,                0.89241,                0.95015,                0.93701,                0.97947,                0.74514,                0.97542,                 0.4915,                0.96008,              0.0076636,              0.0076636,              0.0076636
                     61,                0.80652,                0.43857,                 0.8897,                 0.9184,                0.97469,                0.97527,                0.74207,                0.99766,                0.49389,                0.95146,               0.007624,               0.007624,               0.007624
                     62,                0.82257,                0.44747,                0.88942,                0.95601,                0.95584,                0.97755,                 0.7567,                0.93926,                0.49519,                0.94418,              0.0075844,              0.0075844,              0.0075844
                     63,                0.81833,                 0.4368,                 0.8908,                0.95972,                0.91178,                0.97044,                0.73243,                 1.0371,                 0.5048,                0.96995,              0.0075448,              0.0075448,              0.0075448
                     64,                0.81848,                0.43903,                0.89138,                0.92654,                0.96469,                 0.9701,                0.72258,                 1.0107,                0.49259,                 0.9711,              0.0075052,              0.0075052,              0.0075052
                     65,                0.79928,                0.43788,                0.88655,                0.89785,                0.96578,                0.96092,                0.73292,                 1.0292,                 0.5475,                0.96432,              0.0074656,              0.0074656,              0.0074656
                     66,                0.77982,                0.42699,                 0.8786,                0.91946,                 0.9251,                0.96664,                0.72544,                 1.0303,                0.50285,                0.96746,               0.007426,               0.007426,               0.007426
                     67,                0.79448,                0.42654,                0.88582,                0.92716,                0.95926,                0.96895,                 0.7434,                 0.9888,                 0.4992,                0.95307,              0.0073864,              0.0073864,              0.0073864
                     68,                0.79705,                0.43399,                0.87639,                0.95323,                0.95493,                0.96496,                0.72744,                0.97794,                0.50978,                0.94375,              0.0073468,              0.0073468,              0.0073468
                     69,                0.77907,                0.42583,                0.88222,                0.96648,                0.92695,                0.97231,                0.74631,                 1.0214,                0.55204,                0.96618,              0.0073072,              0.0073072,              0.0073072
                     70,                0.80455,                  0.437,                 0.8894,                0.93564,                0.95096,                 0.9701,                0.73697,                0.99716,                0.51543,                  0.964,              0.0072676,              0.0072676,              0.0072676
                     71,                0.80844,                0.43009,                0.88447,                0.96537,                0.92868,                0.97727,                0.75104,                0.98447,                0.49927,                0.95162,               0.007228,               0.007228,               0.007228
